sample_index,chain,draw,sigma_ap_0p5_arcsec_km_s,m2l_ratio,m2l_ratio_slope,total_stellar_mass_Msun,log10_total_stellar_mass,halo_mge_mass_Msun,kappa_s_halo,gammain_halo,Rs_halo,H0_cosmo,omega_m_cosmo
20183,2,4183,134.059756142172,2.274901775369483,0.22048838293142048,200607864061.83347,11.302347953867432,8559866067036.192,0.03200155435497446,1.5579494732748642,8.508759728469775,78.08639039007241,0.2730537596836443
3061,0,3061,135.46192684805249,2.798777979843247,0.17843560103024192,239154335533.2202,11.378678258430172,2461093007370.951,0.14376855635926464,1.0798154123752925,2.3777717199825075,81.61215515924815,0.06330565446502028
3902,0,3902,136.79509711541778,2.562832350427768,0.17879771986045978,218631598783.64624,11.33971293064946,10089502686636.559,0.04895555098516846,1.406365829682556,7.883755750287214,82.59760027618972,0.11307589975785458
57592,7,1592,148.42389689346405,2.4439025162622223,0.13190423012629515,226891297170.9728,11.355817838048404,3874027877623.5273,0.15225511371539313,1.0738067279492511,2.827223721415798,77.36838349616139,0.464243727321112
29765,3,5765,143.84390438677434,2.9988770862035534,0.21365056668850735,237513594402.97784,11.375688472088186,2903416669841.4497,0.10331496062090313,1.2504461017951467,3.057271203098103,87.46163372287396,0.2233614409826551
3210,0,3210,144.3953839950893,3.0109023161669346,0.24026354447382525,238788785747.50916,11.378013927137669,2408798830353.9756,0.08977056066487825,1.382134128854247,2.9046005882240933,85.9148234099954,0.23017590468750931
38814,4,6814,155.4438863284831,4.408411179982145,0.29379936700485476,306402854955.1488,11.486292807584231,1434589830021.8545,0.10596143376031357,1.1809913300138517,2.2333174214304266,94.23577887485945,0.3678202733300679
25147,3,1147,151.93637901101476,2.9204919050311156,0.14568034820125952,241709513120.97784,11.38329374355884,2581526954220.5977,0.2256016144588602,0.9260693145557766,2.036382499696634,87.40139632513836,0.25815254301169627
8555,1,555,130.036736670894,1.5852409181665006,0.03050100652056642,164568012694.09515,11.21634542467666,35101836420176.652,0.043642242565612464,1.4030457986382685,14.899403535700138,75.05352296118767,0.07975128485772867
35910,4,3910,146.283904789695,3.0099542251700155,0.1755834890903052,271201597247.94476,11.433292242989738,32195104407782.184,0.0440741881901597,1.2156844762613228,14.865191080394812,78.31555728782493,0.3378673108027716
11815,1,3815,154.00466771696074,3.2673114131647236,0.22119040029742265,252146989283.37695,11.4016537869095,1735267080902.793,0.14904401075768547,1.1377959252361456,2.019968347602346,87.5284621168907,0.49224585357279116
7485,0,7485,135.2714758076557,1.7903439221961879,0.09472968247204805,182861394609.91473,11.262122027632909,12582808956463.824,0.05422209906888885,1.3842644742754706,7.896685946876838,73.42263639627897,0.25303270866501765
16219,2,219,149.02133705503672,3.2463687579540284,0.23986203148041263,238372606893.22552,11.377256346040287,4192839044988.516,0.06605601067284164,1.4346260888689537,4.606138608982651,92.83433441807749,0.22063745925595862
