model,n_pixel,k_image,k_image_TD,k_full_observable,chi2_image_best,BIC_image,best_image_chain,best_image_draw,chi2_image_TD_best,BIC_image_TD,best_image_TD_chain,best_image_TD_draw,td_scale_best_at_image_TD,chi2_full_observable_best,BIC_full_observable,best_full_chain,best_full_draw,td_scale_best_at_full,Delta_BIC_image_vs_PantheonSH0ES,Delta_BIC_image_vs_best_available,Delta_BIC_image_TD_vs_PantheonSH0ES,Delta_BIC_image_TD_vs_best_available,Delta_BIC_full_observable_vs_PantheonSH0ES,Delta_BIC_full_observable_vs_best_available
Composite Pantheon+SH0ES,11606,5505,5506,5506,5390.167428712458,56912.98998226425,6,4360,5394.240524895173,56927.8454013844,6,4360,126.05813658172623,5394.774652404615,56928.853795658426,6,4360,126.05813658172623,0.0,0.0,0.0,0.0,0.0,0.0
Composite DESI+Planck,11606,5505,5506,5506,5439.748108279975,56962.57066183176,7,2451,5443.060939710799,56976.665816200024,7,2451,141.53565650177964,5443.116342023209,56977.19548527702,7,2451,141.53565650177964,49.5806795675162,49.5806795675162,48.820414815621916,48.820414815621916,48.34168961859541,48.34168961859541
